Company_Name,Company_Rating,Company_Review,Company_Type,Company_Head_Quarter,Company_Old,Company_Employees
TCS,3.9,(52.2k Reviews),Public,"Mumbai,Maharashtra + 274 more",55 years old,1 Lakh+ Employees (India)
Accenture,4.1,(33.2k Reviews),Public,Dublin + 131 more,34 years old,1 Lakh+ Employees (India)
Cognizant,3.9,(30.6k Reviews),Private,Teaneck. New Jersey. + 102 more,29 years old,1 Lakh+ Employees (India)
ICICI Bank,4.0,(34.5k Reviews),Public,"Mumbai,Maharashtra + 1065 more",29 years old,1 Lakh+ Employees (India)
HDFC Bank,4.0,(40.5k Reviews),Public,"Mumbai,Maharashtra + 1283 more",29 years old,50k-1 Lakh Employees (India)
Wipro,3.9,(29.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 228 more",78 years old,1 Lakh+ Employees (India)
Infosys,3.9,(29.2k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 128 more",42 years old,1 Lakh+ Employees (India)
Capgemini,3.9,(24.7k Reviews),Public,Paris + 79 more,56 years old,1 Lakh+ Employees (India)
Tech Mahindra,3.7,(22.2k Reviews),Public,"Pune,Maharashtra + 210 more",37 years old,50k-1 Lakh Employees (India)
Genpact,4.0,(20k Reviews),Public,"New York,New York + 69 more",26 years old,50k-1 Lakh Employees (India)
HCLTech,3.8,(19.1k Reviews),Public,"Noida,Uttar Pradesh + 141 more",32 years old,1 Lakh+ Employees (India)
Amazon,4.2,(19.4k Reviews),Public,"Seattle,Washington + 381 more",29 years old,1 Lakh+ Employees (India)
Axis Bank,3.9,(19.1k Reviews),Public,"Mumbai,Maharashtra + 1114 more",30 years old,50k-1 Lakh Employees (India)
Concentrix Corpo...,4.0,(15.4k Reviews),Public,"Fremont,California + 70 more",40 years old,10k-50k Employees (India)
IBM,4.2,(15.6k Reviews),Public,"Armonk,New York + 122 more",112 years old,50k-1 Lakh Employees (India)
Reliance jio,4.0,(15.1k Reviews),Public,"Navi Mumbai,Maharashtra + 1010 more",16 years old,50k-1 Lakh Employees (India)
Larsen & Toubro ...,4.1,(24.8k Reviews),Public,"Mumbai,Maharashtra + 532 more",77 years old,10k-50k Employees (India)
HDB Financial Se...,4.0,(13.7k Reviews),Private,"Ahmedabad,Gujrat + 806 more",16 years old,1 Lakh+ Employees (India)
Vodafone Idea,4.2,(13.4k Reviews),Public,"Gandhinagar,Gujrat + 573 more",5 years old,10k-50k Employees (India)
Teleperformance,3.6,(14.8k Reviews),Private,Paris + 122 more,45 years old,50k-1 Lakh Employees (India)
Reliance Retail,4.1,(17.3k Reviews),Private,"Navi Mumbai,Maharashtra + 721 more",17 years old,1 Lakh+ Employees (India)
Kotak Mahindra B...,3.9,(13.8k Reviews),Public,"Mumbai,Maharashtra + 479 more",20 years old,10k-50k Employees (India)
Deloitte,4.1,(10.6k Reviews),Private,"New York,New York + 132 more",178 years old,10k-50k Employees (India)
Reliance Industr...,4.1,(45.8k Reviews),Public,"Navi Mumbai,Maharashtra + 508 more",50 years old,10k-50k Employees (India)
Bharti Airtel,4.1,(12.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 532 more",28 years old,10k-50k Employees (India)
BYJU'S,3.5,(13.7k Reviews),Private,"Bangalore,Karnataka + 261 more",12 years old,1k-5k Employees (India)
Tata Motors,4.1,(12.2k Reviews),Public,"Pune,Maharashtra + 391 more",78 years old,10k-50k Employees (India)
Flipkart,4.2,(12.3k Reviews),Public,"Bangalore,Karnataka + 455 more",16 years old,10k-50k Employees (India)
WNS,3.7,(7.1k Reviews),Private,"Mumbai,Maharashtra + 24 more",27 years old,10k-50k Employees (India)
Mahindra & Mahin...,3.9,(40.1k Reviews),Public,"Mumbai,Maharashtra + 424 more",78 years old,1 Lakh+ Employees (India)
IndusInd Bank,3.8,(6.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 572 more",29 years old,10k-50k Employees (India)
